"mesv","anov","id_dep","total_deputado"
9,2015,74075,13
10,2015,74075,8
11,2015,74075,5
12,2015,74075,2
2,2016,74075,1
3,2016,74075,5
4,2016,74075,1
8,2016,74075,2
10,2016,74075,6
11,2016,74075,5
12,2016,74075,4
2,2017,74075,3
3,2017,74075,1
2,2015,74079,4
3,2015,74079,10
4,2015,74079,2
5,2015,74079,10
6,2015,74079,3
7,2015,74079,3
8,2015,74079,10
9,2015,74079,11
10,2015,74079,4
11,2015,74079,7
12,2015,74079,1
2,2016,74079,5
3,2016,74079,3
4,2016,74079,3
5,2016,74079,2
6,2016,74079,4
7,2016,74079,1
8,2016,74079,2
10,2016,74079,4
11,2016,74079,6
12,2016,74079,4
2,2017,74079,3
3,2017,74079,3
2,2015,74090,6
3,2015,74090,7
4,2015,74090,10
5,2015,74090,10
6,2015,74090,7
7,2015,74090,3
8,2015,74090,9
9,2015,74090,8
10,2015,74090,5
11,2015,74090,7
12,2015,74090,2
2,2016,74090,5
3,2016,74090,8
4,2016,74090,3
5,2016,74090,2
6,2016,74090,3
7,2016,74090,3
8,2016,74090,4
10,2016,74090,3
11,2016,74090,5
12,2016,74090,5
2,2017,74090,2
3,2017,74090,2
2,2015,74095,4
3,2015,74095,8
4,2015,74095,8
5,2015,74095,11
6,2015,74095,5
7,2015,74095,4
8,2015,74095,9
9,2015,74095,11
10,2015,74095,8
11,2015,74095,7
12,2015,74095,2
2,2016,74095,6
3,2016,74095,8
4,2016,74095,4
5,2016,74095,4
6,2016,74095,6
7,2016,74095,3
8,2016,74095,5
10,2016,74095,6
11,2016,74095,6
12,2016,74095,5
2,2017,74095,4
3,2017,74095,3
10,2015,74103,8
11,2015,74103,7
12,2015,74103,2
2,2016,74103,5
3,2016,74103,10
4,2016,74103,4
5,2016,74103,2
2,2017,74103,1
2,2015,74140,3
3,2015,74140,11
4,2015,74140,10
5,2015,74140,10
6,2015,74140,6
7,2015,74140,4
8,2015,74140,9
9,2015,74140,11
10,2015,74140,6
11,2015,74140,6
12,2015,74140,2
