congressperson_name,civil_name,congressperson_id,state,twitter_profile,secondary_twitter_profile,facebook_page
ROBINSON ALMEIDA,ROBINSON SANTOS ALMEIDA,91208,BA,robinson1350,,https://www.facebook.com/robinsonalmeida1350
RONALDO CARLETTO,RONALDO CARLETTO,178861,BA,ronaldocarletto,,https://www.facebook.com/RonaldoCarlettoOficial/
RUI COSTA,,104254,BA,costa_rui,,https://www.facebook.com/ruicostaoficial/
SÉRGIO BRITO,SÉRGIO LUÍS LACERDA BRITO,73808,BA,NAO ENCONTRADO,,https://www.facebook.com/depfederalsergiobrito/
TIA ERON,ERONILDES VASCONCELOS CARVALHO,178862,BA,TiaEron,,https://www.facebook.com/TiaEron/
ULDURICO JUNIOR,ULDURICO ALENCAR PINTO,178863,BA,ulduricopinto,,https://www.facebook.com/ulduricojunior/
VALMIR ASSUNÇÃO,VALMIR CARLOS DA ASSUNÇÃO,160610,BA,falavalmir,,https://www.facebook.com/falavalmir/
WALDENOR PEREIRA,WALDENOR ALVES PEREIRA FILHO,160569,BA,waldenorpereira,,https://www.facebook.com/deputadowaldenorpereira/
ADAIL CARNEIRO,JOSE ADAIL CARNEIRO SILVA,178864,CE,adail12321,,https://www.facebook.com/adailcarneiro11/
ANDRÉ FIGUEIREDO,ANDRÉ PEIXOTO FIGUEIREDO LIMA,133439,CE,andrepdt12,,https://www.facebook.com/DeputadoAndreFigueiredo/?ref=br_rs
ANTONIO BALHMANN,,74213,CE,Dep_Balhmann,,https://www.facebook.com/balhmann?ref=br_rs
ANÍBAL GOMES,ANÍBAL FERREIRA GOMES,74212,CE,NAO ENCONTRADO,,NÃO ENCONTRADO
ARIOSTO HOLANDA,FRANCISCO ARIOSTO HOLANDA,74103,CE,deputadoariosto,,https://www.facebook.com/deputadoariostoholanda/?ref=br_rs
ARTUR BRUNO,,160678,CE,arturbruno,,https://www.facebook.com/artur.bruno.oficial/?ref=br_rs
CABO SABINO,FLAVIO ALVES SABINO,178865,CE,cabo_sabino ‏,,https://www.facebook.com/DepCaboSabino/?ref=br_rs
CHICO LOPES,FRANCISCO LOPES DA SILVA,141440,CE,Chico_Lopes,,https://www.facebook.com/depchicolopes/?ref=br_rs
DANILO FORTE,FRANCISCO DANILO BASTOS FORTE,62881,CE,DepDaniloForte,,https://www.facebook.com/DepDaniloForte/?ref=br_rs
DOMINGOS NETO,DOMINGOS GOMES DE AGUIAR NETO,143632,CE,Domingos_Neto,,https://www.facebook.com/DomingosNetoCeara/?ref=br_rs
EDSON SILVA,,74106,CE,depedsonsilva,,NÃO ENCONTRADO
EUDES XAVIER,,141386,CE,EudesXavierPT,,https://www.facebook.com/EudesXavierPT/?ref=br_rs
GENECIAS NORONHA,GENECIAS MATEUS NORONHA,160669,CE,depgenecias,,https://www.facebook.com/Deputado-Federal-Genecias-Noronha-213910975288105/?ref=br_rs
GORETE PEREIRA,MARIA GORETE PEREIRA,129618,CE,d_goretepereira,,https://www.facebook.com/deputadagoretepereira/?ref=br_rs
JOSÉ AIRTON CIRILO,JOSÉ AIRTON FÉLIX CIRILO DA SILVA,141464,CE,JoseAirtonPT,,https://www.facebook.com/Joseairtoncirilo/?ref=br_rs
JOSÉ GUIMARÃES,JOSÉ NOBRE GUIMARÃES,141470,CE,guimaraes13PT,,https://www.facebook.com/DeputadoJoseGuimaraes/?ref=br_rs
JOSÉ LINHARES,,74297,CE,padreze,,https://www.facebook.com/jose.linhares.71
JOÃO ANANIAS,,160574,CE,depjoaoananias,,https://www.facebook.com/Deputado-Federal-Jo%C3%A3o-Ananias-577591372290851/
LEÔNIDAS CRISTINO,JOSÉ LEÔNIDAS DE MENEZES CRISTINO,74299,CE,leonidas9099,joseleonidas,https://www.facebook.com/Le%C3%B4nidas-Cristino-1271496449602306/?ref=br_rs
LUIZIANNE LINS,LUIZIANNE DE OLIVEIRA LINS,178866,CE,Luizianne13PT,,https://www.facebook.com/deputadaluiziannelins/?ref=br_rs
MACEDO,JOSE MARIA MACEDO JUNIOR,178867,CE,,,https://www.facebook.com/profile.php?id=100009238007113&fref=mentions
MANOEL SALVIANO,,74456,CE,depsalviano,,https://www.facebook.com/depfedmanoelsalviano.sobrinho?ref=br_rs
MAURO BENEVIDES,,73588,CE,maurobenevide,,https://www.facebook.com/maurobenevides03/?ref=br_rs
MOSES RODRIGUES,MOSES HAENDEL MELO RODRIGUES,178997,CE,depfederalmoses,,https://www.facebook.com/MosesRodriguess/?ref=br_rs
ODORICO MONTEIRO,LUIZ ODORICO MONTEIRO DE ANDRADE,178868,CE,odoricomonteiro,,https://www.facebook.com/odoricoamonteiro/?ref=br_rs
